Photon Energy (MeV), Coherent Scattering (cm^2/g), Photoelectric Absorption (cm^2/g), Pair Production (Nuclear Field) (cm^2/g), Total Mass Attenuation (Coherent) (cm^2/g)
1.000E-03, 1.372E+00, 4.076E+03, 0.000E+00, 4.077E+03
1.500E-03, 1.269E+00, 1.374E+03, 0.000E+00, 1.376E+03
2.000E-03, 1.150E+00, 6.162E+02, 0.000E+00, 6.173E+02
3.000E-03, 9.087E-01, 1.919E+02, 0.000E+00, 1.928E+02
4.000E-03, 7.082E-01, 8.197E+01, 0.000E+00, 8.277E+01
5.000E-03, 5.579E-01, 4.192E+01, 0.000E+00, 4.259E+01
6.000E-03, 4.489E-01, 2.407E+01, 0.000E+00, 2.464E+01
8.000E-03, 3.102E-01, 9.919E+00, 0.000E+00, 1.037E+01
1.000E-02, 2.305E-01, 4.944E+00, 0.000E+00, 5.330E+00
1.500E-02, 1.333E-01, 1.369E+00, 0.000E+00, 1.672E+00
2.000E-02, 8.856E-02, 5.439E-01, 0.000E+00, 8.098E-01
3.000E-02, 4.694E-02, 1.458E-01, 0.000E+00, 3.756E-01
4.000E-02, 2.874E-02, 5.680E-02, 0.000E+00, 2.683E-01
5.000E-02, 1.936E-02, 2.725E-02, 0.000E+00, 2.269E+01
6.000E-02, 1.392E-02, 1.493E-02, 0.000E+00, 2.059E+01
8.000E-02, 8.165E-03, 5.770E-03, 0.000E+00, 1.837E+01
1.000E-01, 5.349E-03, 2.763E-03, 0.000E+00, 1.707E+01
1.500E-01, 2.442E-03, 7.308E-04, 0.000E+00, 1.505E+01
2.000E-01, 1.388E-03, 2.887E-04, 0.000E+00, 1.370E+01
3.000E-01, 6.215E-04, 8.160E-05, 0.000E+00, 1.186E+01
4.000E-01, 3.506E-04, 3.493E-05, 0.000E+00, 1.061E+01
5.000E-01, 2.247E-04, 1.883E-05, 0.000E+00, 9.687E+00
6.000E-01, 1.561E-04, 1.173E-05, 0.000E+00, 8.956E+00
8.000E-01, 8.790E-05, 5.920E-06, 0.000E+00, 7.866E+00
1.000E+00, 5.627E-05, 3.681E-06, 0.000E+00, 7.072E+00
1.022E+00, 5.388E-05, 3.430E-06, 0.000E+00, 6.997E+00
1.250E+00, 3.603E-05, 2.329E-06, 1.777E-05, 6.323E+00
1.500E+00, 2.501E-05, 1.690E-06, 9.820E-05, 5.754E+00
2.000E+00, 1.407E-05, 1.063E-06, 3.908E-04, 4.942E+00
2.044E+00, 1.347E-05, 1.028E-06, 4.212E-04, 4.883E+00
3.000E+00, 6.255E-06, 5.937E-07, 1.117E-03, 3.969E+00
4.000E+00, 3.519E-06, 4.075E-07, 1.812E-03, 3.403E+00
5.000E+00, 2.252E-06, 3.090E-07, 2.431E-03, 3.031E+00
6.000E+00, 1.564E-06, 2.484E-07, 2.987E-03, 2.770E+00
7.000E+00, 1.149E-06, 2.075E-07, 3.482E-03, 2.577E+00
8.000E+00, 8.796E-07, 1.780E-07, 3.927E-03, 2.429E+00
9.000E+00, 6.951E-07, 1.559E-07, 4.334E-03, 2.313E+00
1.000E+01, 5.630E-07, 1.386E-07, 4.699E-03, 2.219E+00
